month,year,births,date,t,year_idx,month_idx,log_births
2,2014,4631,2014-02-15,2014.0833333333333,48,1,8.440528106480752
3,2014,4878,2014-03-15,2014.1666666666667,48,2,8.492490578775866
4,2014,5146,2014-04-15,2014.25,48,3,8.545974992841689
5,2014,5370,2014-05-15,2014.3333333333333,48,4,8.58858318750291
6,2014,5257,2014-06-15,2014.4166666666667,48,5,8.567315800819449
7,2014,5487,2014-07-15,2014.5,48,6,8.610136937058975
8,2014,5187,2014-08-15,2014.5833333333333,48,7,8.553910774351401
9,2014,4906,2014-09-15,2014.6666666666667,48,8,8.498214224818435
10,2014,4731,2014-10-15,2014.75,48,9,8.461891875631148
11,2014,4318,2014-11-15,2014.8333333333333,48,10,8.370547611074752
12,2014,4288,2014-12-15,2014.9166666666667,48,11,8.363575702750637
1,2015,4781,2015-01-15,2015.0,49,0,8.472405008626103
2,2015,4519,2015-02-15,2015.0833333333333,49,1,8.41604600941128
3,2015,4784,2015-03-15,2015.1666666666667,49,2,8.473032295630468
4,2015,5129,2015-04-15,2015.25,49,3,8.542665987389269
5,2015,5287,2015-05-15,2015.3333333333333,49,4,8.57300625623545
